,SDGs 01,SDGs 02,SDGs 03,SDGs 04,SDGs 05,SDGs 06,SDGs 07,SDGs 08,SDGs 09,SDGs 10,SDGs 11,SDGs 12,SDGs 13,SDGs 14,SDGs 15,SDGs 16,SDGs 17
,extreme poverty,agricultural policy,aids education,day* care* program*,Digital divide,contaminated potable water,battery powered airplane*,coastal tourism,automation,Bretton Woods Institutions,commuting behavior,development mechanism (cdm),carbon dioxide foot-print,ayu,Arkansia wheeleri,assault weapons bans,career develop*
,extreme* rainfall*,agricultural price volatility,aids epidemic,dementia,discrimination,contaminated water,battery powered automobile*,cointegration,automotive assembly,Burkina Faso,commuting behaviour,diffraction,carbon dioxide footprint,Bahamas,artificial afforestation,assaulted woman,cell membrane
,extreme* weather*,agricultural production,aids epidemics,democratic value,discrimination gender,contamination,battery powered boat*,collective bargaining,bank,Burundi,commuting pattern,digest*,carbon dioxide hydrogenation,BAHAMAS flag tanker,asian clam,assaulted women,Central African Republic
,family planning,Agricultural production,aids knowledge,democratic values,discrimination*,contamination of drinking water,battery powered car*,commercial sexual exploitation,banking,Cabo Verde,commuting time,disposal,carbon dioxide injection,BAHAMAS tanker,asian elephant,assaults,Chad
,Family* polic*,agricultural productivity,aids model,dental*,disease*,contamination of ground water,battery powered city bus*,commercially sexually exploited children,bone,Cambodia,commuting to work,disposal facility,carbon dioxide market,baiji,assessment of desertification,bank corruption,challeng*
,fertiliser,agricultural reform,aids models,dentist*,disempowerment,contamination of groundwater,battery powered drive car*,communities,bones,Cameroon,commuting* cost*,disposal of high-level radioactive waste,carbon dioxide markets,Balaenoptera borealis,Assiminea pecos,battered babies,challenge*
,fertility,Agricultural science,aids outbreak,design,disparity,contamination of potable water,battery powered fleet*,community based tourism,broadband penetration,campaign finance,compact cities,disposal of highlevel radioactive waste,carbon dioxide photoreduction,Balaenoptera musculus,at-risk species,battered baby,channel*
,financial barriers,Agricultural seasonality ,aids outbreaks,develop,diversity,contamination of water,battery powered locomotive*,community tourism,broadband services,cap-and-trade,compact city,disposal of radioactive waste,carbon dioxide pipeline,Balaenoptera physalus,Ateles geoffroyi frontatus,battered child,cheat
,financial crisis,agricultural sustainability,aids pandemic,develop entrepreneurship,diversity management,crop,battery powered motorcycl*,community-based,Building,capandtrade,comparative housing,disposal of waste,carbon dioxide pipelines,ballast water,Athearnia anthonyi,battered children,cheating
,financial exclusion,agricultural*,aids pandemics,develop*,divorce rights,crop per drop,battery powered passenger bus*,communitybased,buildings,Cape Verde,concrete building,dry storage,Carbon dioxide quota,Baltic Sea,atlantic,battered mother,Chile
,financial inclusion,agricultural* communit*,aids prevention,Develop*,dogs,dairy,battery powered public bus*,competitiveness,business angel,capital adequacy,concrete buildings,dry storage canister,carbon dioxide recycling,Banda Sea,Atrichornis clamosus,battered mothers,China
,financial* disaster*,agricultural* compan*,aids surveillance,develop* entrepreneurial* trait*,domestic space,dairy waste water,battery powered railway*,competitiveness index,business angels,capital flow,concrete*,dry* cask* storage*,carbon dioxide reduction,Bangladesh,atrisk species,battered wive,china comprehensive agreement on investment
,financial* fragilit*,Agricultural* credit*,aids transmission,developed* competence*,Domestic violence,dairy waste waters,battery powered scooter*,compulsory labour,CAD,capital flows,congestion,dry* storage* cask*,carbon dioxide reformation,Barbados,avoided deforestation,battered wives,civil society partnership*
,financial* insecurit*,agricultural* domain*,aids treatment,developing,domestic work,dairy wastewater,battery powered ship*,conditional ?-convergence,cad-cam,capital* market* law*,congestion pricing,e-waste,carbon dioxide reforming,barbodes altus,Aythya innotata,battered woman,clean development mechanism*
,financial* service*,Agricultural* household*,aids vaccination,developing job skills,early sexual initiation,dairy wastewaters,battery powered train*,conditional convergence,CAD/CAM,capital* market* regulat*,congestion traffic,earth-literate,carbon dioxide remediation,barbodes gonionotus,Babyrousa babyrussa,battered women,climate change
,financing,agricultural* land*,aids vaccine,Developing* competenc*,early sexual intercourse,dbps,battery powered tramway*,conservation* area*,CAD/CAM system,capital* regulat*,conservation,earthkeepers,carbon dioxide removal,Barbus,Batagur baska,batterer,CO-2 emission*
,flood,agricultural* occupation*,aids vaccines,developing* countr*,Economic security ,decontaminated,battery powered truck*,construction productivity,CAD/CAM systems,Cayman Islands,Container-based sanitation,earthliterate,carbon dioxide replacement,Barracuda,Batrisodes texanus,batterers,co-operation*
,floods,Agricultural* practice*,air quality,developing* professional* knowledge*,economics of gender,decontamination,battery powered vehicle*,contemporary forms of slavery,cadcam,Central African Republic,Containerbased sanitation,eco architecture,carbon dioxide scrubber,barramundi,bear,battering men,CO2 emission*
,food bank,Agricultural* task*,Albania,development,economy,decontamination of drinking water,battery powertrain*,contemporary slavery,capital finance,Chad,contamination,eco tourism,carbon dioxide scrubbers,base regulation,bear conservation,blackmail,collabora*
,food banks,agricultural* technolog*,alcohol,Development of entrepreneurship,education,decontamination of potable water,battery public bus*,convention 169,capital Investment,child development account,creative cities,eco*-building*,carbon dioxide scrubbing,bass,benefit sharing,blackmailing,collaborat*
,food insecurity,agricultural* worker*,alcohol abuse,development of reading,education*,deep well,battery railway*,Convention 182,capital Investments,child development accounts,creative city,eco*-industrial* park*,carbon dioxide separation,bathyal,benefit-sharing,boko haram,Collective Action Clause*
,foreign aid,agriculture,alcohol abuser,diabete*,Educational technology,deep wells,battery scooter*,convergence clubs,carbon capture,China,cultural,eco-building material,carbon dioxide sequestration,bathymetr*,benefits of biodiversity,bribe,collusion
,fuel poverty,Agriculture,alcohol abusers,diarrhea*,Educational* practice* ,defecation,battery ship*,cooperative banks,carbon credit,civil rights,cultural heritage,eco-building materials,carbon dioxide sequestration program,bathypelagic,benefitsharing,bribery,Colombia
,funded pension,agriculture precision,alcohol addict,digital* resource*,egg freezing,deficit irrigation,battery train*,cooperativism,carbon dioxide,class inequalities,cultural* heritage* material*,eco-construction material,carbon dioxide sequestration programs,Bay of Biscay,Bettongia gaimardi,bribes,commit*
,game theoric,agriculture remote sensing,alcohol addiction,disabilit*,elder*,defluoridation,battery tramway*,core labour standards,carbon dioxide capture,class inequality,cultural* heritage* object*,eco-construction materials,carbon dioxide sequestration solution,Bay of Bothnia,Bettongia lesueur,bribing,Comoros
,game theory,agriculture science,alcohol addicts,disabilities education improvement act,eldercare policies,degraded river,battery truck*,credit,carbon dioxide emission,class mobility,culture,eco-design,carbon dioxide sequestration solutions,Bay of Campeche,Bettongia penicillata,bullied child,comparative advantage
,gas,agriculture uav,alcohol dependence,disability* inclusion*,Electoral* gender* quota*,degraded rivers,battery vehicle*,credit access,carbon dioxide emission reduction,Colombia,cycle lanes,eco-housing,carbon dioxide sequestration technologies,Bay of Fundy,Bettongia tropica,bullied children,competenc*
,gases,agriculture wireless sensor networks,alcohol dependency,disabillit*,Electoral* women* quota*,dental,battery-assisted hybrid*,credit constrained,carbon dioxide emissions,commodity* trad*,cycle path,eco-label,carbon dioxide sequestration technology,beach litter,Biobank,bullied student,competition polic*
,gender,agriculture*,alcohol disorder,disable*,Emergency contraception,Depollution,Belo Monte,credit constraint,carbon dioxide emissions reduction,Comoros,cycle paths,eco-tourism,carbon dioxide spot price,beach management,Biobank governance,bullied students,competitiveness
,gender wage,agrienvironment*,alcohol disorders,Disable*,employment,Desalinated,beryllium air,credit constraints,carbon dioxide reduction,Congo,cycling accidents,ecobuilding material,carbon dioxide spot prices,beach restoration,Biodiversity,bullying at school,completeness
,gender* inequit*,agrienvironmental* measure*,alcohol misuse,disabled,Employment,desalinated water,better energy efficiency,credit cooperatives,carbon dioxide storage,Cook Islands,cycling collisions,ecobuilding materials,carbon dioxide spot pricing,Beaked Whale,biodiversity,bullying at work,completion
,gender* relation*,agrienvironmental* polic*,alcohol problem,disabled people,employment equality act,Desalination,better energy efficient,credit needs,carbon foot-print,cost* of* trad*,cycling infrastructure,ecobuilding*,carbon dioxide storage,Beaked Whales,biodiversity conservation,bullying in childhood,comprehensive and progressive agreement for trans-pacific partnership
